,Year,Local Government Area,Offence Count,"Rate per 100,000 population"
207,2017,benalla,3785.0,6970.78364286472
208,2017,boroondara,7313.0,4093.5
209,2017,brimbank,17143.0,8317.2
210,2017,buloke,199.0,3198.8
211,2017,campaspe,3946.0,8152.721021846011
212,2017,cardinia,5816.0,5687.6
213,2017,casey,21223.0,6531.200000000001
214,2017,centralgoldfields,2459.0,7566.828444003309
215,2017,colacotway,2769.0,7311.072786399027
216,2017,darebin,14791.0,9449.6
217,2017,eastgippsland,3964.0,8576.6
218,2017,frankston,14276.0,10153.600000000002
219,2017,gleneira,6821.0,4526.2
220,2017,glenelg,2918.0,8103.529506335866
221,2017,goldenplains,688.0,3042.5
222,2017,greaterbendigo,9716.0,8503.0
223,2017,greaterdandenong,18093.0,11105.199999999999
224,2017,greatergeelong,23079.0,9257.255993701026
225,2017,greatershepparton,8046.0,12199.2
226,2017,hindmarsh,385.0,6721.4
227,2017,hobsonsbay,6070.0,6420.4
228,2017,horsham,2393.0,11978.8
229,2017,hume,20216.0,9348.5
230,2017,indigo,491.0,2995.7
231,2017,kingston,10709.0,6687.3
232,2017,knox,11278.0,6982.2
233,2017,latrobe,13336.0,17760.5
234,2017,loddon,347.0,4584.5
235,2017,macedonranges,2128.0,4395.3
236,2017,manningham,4903.0,3950.0
237,2017,maribyrnong,8022.0,9103.5
238,2017,maroondah,8288.0,7131.100000000001
239,2017,melbourne,36482.0,23392.500000000004
240,2017,melton,10631.0,7148.799999999999
241,2017,merribek,12744.0,7277.7
242,2017,mildura,6496.0,11718.7
243,2017,mitchell,5782.0,8729.931521596995
244,2017,monash,11115.0,5680.6
245,2017,mooneevalley,8605.0,6921.6
246,2017,moorabool,3032.0,6137.99055656514
247,2017,morningtonpeninsula,10915.0,6647.9
248,2017,moyne,622.0,3707.0
249,2017,northerngrampians,2309.0,9873.026939074703
250,2017,portphillip,12509.0,11421.3
251,2017,pyrenees,527.0,7194.499999999999
252,2017,southgippsland,1442.0,4911.3
253,2017,stonnington,9880.0,8810.9
254,2017,surfcoast,1166.0,3695.1
255,2017,swanhill,2414.0,11457.6
256,2017,total,500657.0,7944.776203090456
257,2017,wangaratta,2346.0,8103.300000000001
258,2017,warrnambool,3482.0,10086.9
259,2017,wellington,3666.0,8356.1
260,2017,westwimmera,188.0,4757.1
261,2017,whitehorse,8300.0,4815.1
262,2017,whittlesea,17905.0,6421.2533029321285
263,2017,wodonga,3296.0,8071.1
264,2017,wyndham,14229.0,5890.1
265,2017,yarra,13281.0,14053.5
266,2017,yarraranges,8209.0,5238.799999999999
267,2017,yarriambiack,478.0,7125.8
268,2018,alpine,791.0,4180.330332346102
269,2018,ballarat,10865.0,10096.8
270,2018,banyule,9403.0,7252.9
271,2018,basscoast,2211.0,6127.5
272,2018,bawbaw,4491.0,8562.9
273,2018,bayside,4686.0,4478.9
274,2018,benalla,3910.0,7134.7725145062695
275,2018,boroondara,6942.0,3869.8999999999996
276,2018,brimbank,19051.0,9204.399999999998
277,2018,buloke,236.0,3797.9
278,2018,campaspe,4557.0,9386.355870317415
279,2018,cardinia,6048.0,5655.2
280,2018,casey,21021.0,6217.600000000001
281,2018,centralgoldfields,2173.0,6618.945359549301
282,2018,colacotway,2311.0,6072.985154373323
283,2018,darebin,15236.0,9698.1
284,2018,eastgippsland,4507.0,9613.7
285,2018,frankston,14871.0,10507.2
286,2018,gleneira,6470.0,4245.7
287,2018,glenelg,2905.0,8028.392178816304
288,2018,goldenplains,684.0,2949.4
289,2018,greaterbendigo,10549.0,9079.4
290,2018,greaterdandenong,18291.0,11092.500000000002
291,2018,greatergeelong,21069.0,8225.901843698579
292,2018,greatershepparton,8744.0,13084.699999999999
293,2018,hindmarsh,351.0,6167.600000000001
294,2018,hobsonsbay,6236.0,6553.899999999999
295,2018,horsham,3021.0,15056.800000000001
296,2018,hume,20702.0,9179.4
297,2018,indigo,451.0,2714.7000000000003
298,2018,kingston,11005.0,6806.399999999999
299,2018,knox,10806.0,6651.500000000001
300,2018,latrobe,14603.0,19319.7
301,2018,loddon,490.0,6445.7
302,2018,macedonranges,2331.0,4728.0
303,2018,manningham,4362.0,3487.1
304,2018,maribyrnong,8434.0,9490.2
305,2018,maroondah,8103.0,6918.199999999999
306,2018,melbourne,36171.0,22141.500000000004
307,2018,melton,10680.0,6801.7
308,2018,merribek,14556.0,8192.299999999997
309,2018,mildura,7328.0,13049.799999999997
310,2018,mitchell,5509.0,8069.443177685933
311,2018,monash,10332.0,5217.9
312,2018,mooneevalley,8613.0,6863.699999999999
313,2018,moorabool,3180.0,6289.052656001413
314,2018,morningtonpeninsula,10797.0,6482.200000000001
315,2018,moyne,530.0,3136.7
316,2018,northerngrampians,2337.0,9970.608028298378
317,2018,portphillip,13097.0,11827.5
318,2018,pyrenees,501.0,6837.700000000001
319,2018,southgippsland,1445.0,4881.1
320,2018,stonnington,10782.0,9513.0
321,2018,surfcoast,1185.0,3618.3
322,2018,swanhill,2526.0,11892.7
323,2018,total,508422.0,7916.731806931891
324,2018,wangaratta,2388.0,8158.800000000001
325,2018,warrnambool,3950.0,11343.099999999999
326,2018,wellington,4004.0,9052.099999999999
327,2018,westwimmera,166.0,4187.7
328,2018,whitehorse,8193.0,4697.000000000001
329,2018,whittlesea,17722.0,6215.116036421196
330,2018,wodonga,3207.0,7720.099999999999
331,2018,wyndham,14462.0,5627.0
332,2018,yarra,13683.0,14327.1
333,2018,yarraranges,7658.0,4852.399999999999
334,2018,yarriambiack,503.0,7509.7
335,2019,alpine,784.0,4116.325108843429
336,2019,ballarat,11742.0,10696.6
337,2019,banyule,9514.0,7284.4
338,2019,basscoast,2498.0,6672.0
339,2019,bawbaw,4761.0,8808.999999999998
340,2019,bayside,5098.0,4849.3
341,2019,benalla,4479.0,8107.793152122886
342,2019,boroondara,8139.0,4530.1
343,2019,brimbank,19791.0,9571.5
344,2019,buloke,300.0,4865.4
345,2019,campaspe,4791.0,9839.79495188871
346,2019,cardinia,6638.0,5926.699999999999
347,2019,casey,22532.0,6401.0
348,2019,centralgoldfields,2635.0,7974.011683394151
349,2019,colacotway,2295.0,6006.605986373659
350,2019,darebin,14523.0,9232.8
351,2019,eastgippsland,4895.0,10313.1
352,2019,frankston,14921.0,10510.000000000002
353,2019,gleneira,7388.0,4799.4
354,2019,glenelg,2889.0,7943.339865407103
355,2019,goldenplains,650.0,2729.9000000000005
356,2019,greaterbendigo,11453.0,9688.4
357,2019,greaterdandenong,18916.0,11374.9
358,2019,greatergeelong,21821.0,8293.607323048775
359,2019,greatershepparton,8836.0,13045.3
360,2019,hindmarsh,330.0,5822.200000000001
361,2019,hobsonsbay,6225.0,6496.7
362,2019,horsham,1951.0,9658.4
363,2019,hume,21416.0,9098.899999999998
364,2019,indigo,598.0,3543.5
365,2019,kingston,12107.0,7419.5
366,2019,knox,11923.0,7300.900000000001
367,2019,latrobe,14004.0,18397.0
368,2019,loddon,476.0,6239.3
369,2019,macedonranges,2444.0,4872.2
370,2019,manningham,5138.0,4049.7
371,2019,maribyrnong,8901.0,9949.7
372,2019,maroondah,8163.0,6919.799999999999
373,2019,melbourne,36346.0,21512.6
374,2019,melton,12612.0,7618.9
375,2019,merribek,14368.0,8012.2
376,2019,mildura,7425.0,13080.5
377,2019,mitchell,6100.0,8649.159827950934
378,2019,monash,11689.0,5851.5
379,2019,mooneevalley,8280.0,6550.3
380,2019,moorabool,2997.0,5774.7709109630005
381,2019,morningtonpeninsula,11211.0,6649.7
382,2019,moyne,683.0,4018.4000000000005
383,2019,northerngrampians,2366.0,10048.873589184033
384,2019,portphillip,12549.0,11226.3
385,2019,pyrenees,654.0,8779.7
386,2019,southgippsland,1729.0,5778.2
387,2019,stonnington,11752.0,10326.9
388,2019,surfcoast,1245.0,3639.0
389,2019,swanhill,2625.0,12262.3
390,2019,total,532912.0,8153.010778385057
391,2019,wangaratta,2521.0,8563.5
392,2019,warrnambool,3452.0,9833.599999999999
393,2019,wellington,4589.0,10271.7
394,2019,westwimmera,168.0,4222.2
395,2019,whitehorse,9222.0,5243.9
396,2019,whittlesea,18705.0,6438.09811908298
397,2019,wodonga,3745.0,8898.899999999998
398,2019,wyndham,16755.0,6132.800000000001
399,2019,yarra,13504.0,13987.4
400,2019,yarraranges,9178.0,5781.6
401,2019,yarriambiack,477.0,7146.099999999999
402,2020,alpine,801.0,4166.652075939691
403,2020,ballarat,9764.0,8745.6
404,2020,banyule,9456.0,7257.4
405,2020,basscoast,2893.0,7427.499999999999
406,2020,bawbaw,5083.0,9117.0
407,2020,bayside,5586.0,5319.1
408,2020,benalla,4296.0,7693.6771151235525
409,2020,boroondara,8012.0,4504.3
410,2020,brimbank,20216.0,9899.5
411,2020,buloke,498.0,8089.7
412,2020,campaspe,4746.0,9694.849938180707
413,2020,cardinia,7602.0,6525.0
414,2020,casey,23188.0,6370.900000000001
415,2020,centralgoldfields,2115.0,6362.26244878345
416,2020,colacotway,2677.0,6974.630168916372
417,2020,darebin,15737.0,10020.0
418,2020,eastgippsland,5147.0,10751.1
419,2020,frankston,14784.0,10397.299999999997
420,2020,gleneira,7867.0,5086.799999999999
421,2020,glenelg,2839.0,7765.092875248554
422,2020,goldenplains,588.0,2413.2
423,2020,greaterbendigo,11062.0,9221.6
424,2020,greaterdandenong,19351.0,11682.0
425,2020,greatergeelong,23083.0,8576.875968168823
426,2020,greatershepparton,9160.0,13377.299999999997
427,2020,hindmarsh,590.0,10409.3
428,2020,hobsonsbay,5825.0,6119.1
429,2020,horsham,2479.0,12160.899999999998
430,2020,hume,21992.0,9026.3
431,2020,indigo,575.0,3359.6
432,2020,kingston,11631.0,7127.0
433,2020,knox,11986.0,7342.5
434,2020,latrobe,13628.0,17764.7
435,2020,loddon,532.0,6947.9
436,2020,macedonranges,2734.0,5371.9
437,2020,manningham,4837.0,3779.3
438,2020,maribyrnong,9156.0,10239.5
439,2020,maroondah,8010.0,6771.2
440,2020,melbourne,36502.0,21397.6
441,2020,melton,14353.0,8269.499999999998
442,2020,merribek,13768.0,7647.6
443,2020,mildura,6572.0,11462.5
444,2020,mitchell,6742.0,9269.010738840263
